charger_id,station_name,address,city,state,latitude,longitude,x_projected,y_projected,level,plug_power_kw,plug_count,ev_network,connector_types,facility_type
l2_MD_0001,Municipal Garage,200 N Holliday St,Baltimore,MD,39.291785,-76.610539,433597.4883,180469.9913,L2,7.2,2,Non-Networked,J1772 NEMA520,FLEET_GARAGE
l2_MD_0002,Community College of Baltimore County (CCBC),800 S Rolling Rd,Catonsville,MD,39.256947,-76.730918,423224.1605,176564.941,L2,7.2,2,Non-Networked,J1772,COLLEGE_CAMPUS
dcfc_MD_0001,Younger Nissan,7418 Grove Rd,Frederick,MD,39.391016,-77.408006,364851.5174,191493.64,DCFC,50,1,IN_CHARGE,CHADEMO J1772COMBO,CAR_DEALER
l2_MD_0003,Passport Nissan - Marlow Heights,5000 Auth Way,Suitland,MD,38.827,-76.92355,406638.0512,128804.5157,L2,7.2,1,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
dcfc_MD_0002,Passport Nissan - Marlow Heights,5000 Auth Way,Suitland,MD,38.827,-76.92355,406638.0512,128804.5157,DCFC,50,1,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
l2_MD_0004,Darcars Nissan,15911 Indianola Dr,Rockville,MD,39.11377,-77.16099,386076.7264,160648.25,L2,7.2,1,Non-Networked,CHADEMO J1772,CAR_DEALER
dcfc_MD_0003,Darcars Nissan,15911 Indianola Dr,Rockville,MD,39.11377,-77.16099,386076.7264,160648.25,DCFC,50,1,Non-Networked,CHADEMO J1772,CAR_DEALER
l2_MD_0005,Herb Gordon Nissan,3131 Automobile Blvd,Silver Spring,MD,39.077447,-76.947933,404505.0208,156604.9312,L2,7.2,1,Non-Networked,CHADEMO J1772,CAR_DEALER
dcfc_MD_0004,Herb Gordon Nissan,3131 Automobile Blvd,Silver Spring,MD,39.077447,-76.947933,404505.0208,156604.9312,DCFC,50,1,Non-Networked,CHADEMO J1772,CAR_DEALER
l2_MD_0006,Carmax Nissan,10201 Philadelphia Rd,White Marsh,MD,39.367921,-76.4459,447748.993,188995.7811,L2,7.2,2,Non-Networked,J1772,CAR_DEALER
l2_MD_0007,Annapolis Friends Meeting,351 Dubois Ave,Annapolis,MD,39.001676,-76.525253,441122.2425,148299.0719,L2,7.2,2,Non-Networked,J1772 NEMA520,PLACE_OF_WORSHIP
l2_MD_0008,CHARLES COUNTY INDIAN HEAD1,3225 Ruth B Swann Dr,Indian Head,MD,38.623533,-77.086898,392432.6659,106219.5017,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0009,CHARLES COUNTY CRAIN CENTER1,12480 Crain Hwy,Newburg,MD,38.369101,-76.960389,403461.3178,77973.9694,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0010,UM PTS GRAND,5 N Paca St,Baltimore,MD,39.290036,-76.621894,432618.734,180271.7066,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0011,UM PTS PEARL #3,622 W Fayette St,Baltimore,MD,39.290764,-76.62439,432403.0746,180351.6387,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0012,UM PTS PRATT,646 West Pratt Street,Baltimore,MD,39.28651,-76.624935,432357.998,179879.1784,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0013,UM PTS PLAZA #1,500 West Redwood Street,Baltimore,MD,39.28808,-76.622679,432551.9101,180054.2769,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0014,Antwerpen Nissan,1701 Woodlawn Dr,Baltimore,MD,39.312935,-76.734569,422890.984,182779.6753,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0015,Bob Bell Nissan,7900 Eastern Ave,Baltimore,MD,39.296284,-76.509019,442352.5717,181011.6652,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0016,Nissan - Bowie,2200 Crain Hwy,Bowie,MD,38.919266,-76.718381,424421.7912,139081.5804,L2,7.2,2,Non-Networked,J1772,CAR_DEALER
l2_MD_0017,Antwerpen Nissan,12451 Auto Dr,Clarksville,MD,39.21308,-76.94426,404813.6602,171662.2659,L2,7.2,1,Non-Networked,CHADEMO J1772,CAR_DEALER
dcfc_MD_0005,Antwerpen Nissan,12451 Auto Dr,Clarksville,MD,39.21308,-76.94426,404813.6602,171662.2659,DCFC,50,1,Non-Networked,CHADEMO J1772,CAR_DEALER
dcfc_MD_0006,Nissan Ellicott City,8569 Baltimore National Pike,Ellicott City,MD,39.282792425,-76.808599114,416513.5313,179417.34,DCFC,50,1,IN_CHARGE,CHADEMO J1772COMBO,CAR_DEALER
dcfc_MD_0007,Sheehy Nissan,7232 Ritchie Hwy,Glen Burnie,MD,39.172593,-76.619737,432859.1036,167234.4952,DCFC,50,1,IN_CHARGE,CHADEMO J1772COMBO,CAR_DEALER
l2_MD_0018,Hamilton Nissan,1929 Dual Hwy,Hagerstown,MD,39.605506,-77.688362,340879.7426,215451.945,L2,7.2,2,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
dcfc_MD_0008,Hamilton Nissan,1929 Dual Hwy,Hagerstown,MD,39.605506,-77.688362,340879.7426,215451.945,DCFC,50,2,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
l2_MD_0019,Ourisman Nissan,3510 Ft Meade Rd,Laurel,MD,39.10165650552629,-76.82296928916321,415312.6648,159306.0282,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0020,Nationwide Nissan,2085 York Rd,Timonium,MD,39.440667,-76.625948,432200.5075,196993.3001,L2,7.2,1,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
dcfc_MD_0009,Nationwide Nissan,2085 York Rd,Timonium,MD,39.440667,-76.625948,432200.5075,196993.3001,DCFC,50,1,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
l2_MD_0021,MTA LTR MT WASHNGTN,5701 Smith Ave,Baltimore,MD,39.368244,-76.652339,429959.2269,188943.8253,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0022,Waldorf Ford,2440 Crain Hwy,Waldorf,MD,38.64352,-76.891367,409456.7998,108440.1278,L2,7.2,3,Non-Networked,J1772,CAR_DEALER
l2_MD_0023,Century Ford,302 Century Dr,Mt. Airy,MD,39.368505,-77.143072,387670.7024,188925.5419,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0024,Safford Ford Lincoln - Salisbury,1902 N Salisbury Blvd,Salisbury,MD,38.389455,-75.580663,523994.3503,81196.2793,L2,7.2,2,Non-Networked,J1772,CAR_DEALER
l2_MD_0025,Hagerstown Ford,1714 Massey Blvd,Hagerstown,MD,39.628969,-77.76681,334164.2623,218110.6598,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0026,Pohanka Nissan - Salisbury,2012 N Salisbury Blvd,Salisbury,MD,38.39214,-75.57586,524409.2633,81500.8156,L2,7.2,1,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
dcfc_MD_0010,Pohanka Nissan - Salisbury,2012 N Salisbury Blvd,Salisbury,MD,38.39214,-75.57586,524409.2633,81500.8156,DCFC,50,2,Non-Networked,CHADEMO J1772 J1772COMBO,CAR_DEALER
l2_MD_0027,COLUMBIA ASSOC COLUMBIA GYM,6151 Day Long Ln,Clarksville,MD,39.211384,-76.933986,405701.0906,171474.5727,L2,7.2,1,ChargePoint Network,J1772,
l2_MD_0028,TOWSON BMW STATION 01,700 Kenilworth Dr,Towson,MD,39.410302,-76.616611,433018.4412,193625.4486,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0029,CENTRAL GARAGE CENTRAL GARAGE,7315 Wisconsin Ave Enter by Hilton Garden Inn,Bethesda,MD,38.983183,-77.092015,392027.3296,146143.3434,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0030,OAK CREST TOWN CENTER,3700 E Northern Pkwy,Baltimore,MD,39.35846,-76.536562,439941.6596,187901.9017,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0031,UM PTS PLAZA #2,500-598 W Redwood St,Baltimore,MD,39.288696,-76.623385,432490.7206,180122.4121,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0032,MCDOT-PARKING GARAGE 31- 3,7171 Woodmont Ave,Bethesda,MD,38.980281,-77.095132,391756.9285,145821.4706,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0033,MCDOT-PARKING GARAGE 31- 2,7171 Woodmont,Bethesda,MD,38.980271,-77.095092,391760.3932,145820.3569,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0034,Maryland Institute College of Art - Commons Hall,130 McMechen St,Baltimore,MD,39.308846,-76.625419,432306.0714,182358.6938,L2,7.2,2,Non-Networked,J1772,COLLEGE_CAMPUS
l2_MD_0035,Maryland Institute College of Art - Lazarus Center,131 W North Ave,Baltimore,MD,39.31074,-76.618931,432864.7578,182571.276,L2,7.2,4,Non-Networked,J1772,COLLEGE_CAMPUS
l2_MD_0036,University of Baltimore - Maryland Avenue Garage,1104 Maryland Ave,Baltimore,MD,39.302352,-76.617606,432982.9297,181640.5367,L2,7.2,3,Non-Networked,J1772,COLLEGE_CAMPUS
l2_MD_0037,Mayflower Properties,1110 Morton St,Baltimore,MD,39.30246,-76.616698,433061.1979,181652.8549,L2,7.2,1,Non-Networked,J1772,OFFICE_BLDG
l2_MD_0038,Parkview Business Center,201 Prospect Ave,Hagerstown,MD,39.653116,-77.715766,338567.6382,220756.0893,L2,7.2,1,Non-Networked,J1772,OFFICE_BLDG
l2_MD_0039,Mount Airy Municipal Parking Lot,255-299 Cross St,Mt. Airy,MD,39.375442,-77.154666,386672.9069,189697.3277,L2,7.2,4,Non-Networked,CHADEMO J1772 J1772COMBO TESLA,PARKING_LOT
dcfc_MD_0011,Mount Airy Municipal Parking Lot,255-299 Cross St,Mt. Airy,MD,39.375442,-77.154666,386672.9069,189697.3277,DCFC,50,2,Non-Networked,CHADEMO J1772 J1772COMBO TESLA,PARKING_LOT
l2_MD_0040,MTA LTR CROMWELL,7378 Baltimore Annapolis Blvd,Glen Burnie,MD,39.172263,-76.634111,431617.1689,167192.7875,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0041,First United Evangelical and Reformed Church,6115 O'Donnell St,Baltimore,MD,39.281321,-76.542569,439466.8425,179335.4971,L2,7.2,1,Non-Networked,J1772,STANDALONE_STATION
l2_MD_0042,Marriott Garage,101 S Paca St,Baltimore,MD,39.287168,-76.621895,432619.9659,179953.309,L2,7.2,3,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0043,MTA BUS DUNKIRK,10839 Town Center Blvd,Dunkirk,MD,38.727007,-76.656474,429870.6248,117758.0856,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0044,MTA MARC HALETHORPE,5833 SOUTHWESTERN BLVD,HALETHORPE,MD,39.238478,-76.69177,426609.9198,174525.2583,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0045,CONOWINGO DAM CONOWINGO FISHE,2559 Shureslanding Rd,Darlington,MD,39.655718,-76.174479,470849.0868,221124.3388,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0046,MTA LTR N LINTHICUM,450 N Camp Meade Rd,Linthicum Heights,MD,39.214402,-76.645894,430580.8366,171866.8106,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0047,Redwood Garage,11 S Eutaw St,Baltimore,MD,39.288504,-76.620394,432748.8442,180102.1649,L2,7.2,4,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0048,Annex Garage,140 W Patrick St,Frederick,MD,39.414063,-77.413739,364369.2389,194054.5703,L2,7.2,2,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0049,Fleet & Eden Garage,501 S Eden St,Baltimore,MD,39.285366,-76.598315,434655.1461,179761.9398,L2,7.2,4,Non-Networked,J1772,PAY_GARAGE
l2_MD_0050,MCDOT-PARKING GARAGE 11,7730 Woodmont Ave,Bethesda,MD,38.987342,-77.096306,391656.0336,146605.4158,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0051,Signet Garage,210 Guilford Ave,Baltimore,MD,39.29195,-76.611345,433527.8794,180488.013,L2,7.2,8,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0052,MCDOT-PARKING GARAGE 9,8040 Kennett St,Silver Spring,MD,38.988103,-77.029076,397480.7071,146685.8937,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0053,MCDOT-PARKING GARAGE 47,4501-4623 Montgomery Ave,Bethesda,MD,38.984088,-77.091446,392076.73,146243.7575,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0054,Cathedral Garage,320 Cathedral St,Baltimore,MD,39.293793,-76.616977,433041.1685,180690.5656,L2,7.2,4,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0055,Arena Garage,201 W Baltimore St,Baltimore,MD,39.289385,-76.618742,432890.955,180200.5646,L2,7.2,2,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0056,MCDOT-PARKING GARAGE 7,8530 Cameron St,Silver Spring,MD,38.996811,-77.031179,397298.8423,147652.6276,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0057,MCDOT-PARKING GARAGE 45-2,11304 Amherst Ave,Wheaton-Glenmont,MD,39.04017,-77.04886,395769.7859,152466.6081,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0058,Water Street Garage,22 S Gray St,Baltimore,MD,39.288514,-76.611444,433520.962,180106.5217,L2,7.2,6,Non-Networked,J1772,PARKING_GARAGE
l2_MD_0059,Back River Treatment Plant,8201 Eastern Ave,Baltimore,MD,39.300234,-76.492813,443748.0766,181457.8204,L2,7.2,4,Non-Networked,J1772,MUNI_GOV
l2_MD_0060,Carrollton Inn,50 Albermarle St,Baltimore,MD,39.288678,-76.604209,434145.0511,180127.4084,L2,7.2,2,Non-Networked,J1772,B_AND_B
l2_MD_0061,War Memorial Plaza,400 E Lexington St,Baltimore,MD,39.291177,-76.60939,433696.8974,180402.9161,L2,7.2,2,Non-Networked,J1772,PARKING_LOT
l2_MD_0062,Fox and Bunting Building,1303 W Mount Royal Ave,Baltimore,MD,39.308041,-76.621291,432662.4653,182270.7924,L2,7.2,2,Non-Networked,J1772,OFFICE_BLDG
l2_MD_0063,Gramercy Mansion,1400 Greenspring Valley Rd,Stevenson,MD,39.42522,-76.694873,426272.7752,195256.2857,L2,7.2,2,Non-Networked,J1772,B_AND_B
l2_MD_0064,Hotel Indigo,24 W Franklin St,Baltimore,MD,39.295255,-76.61648,433083.3603,180853.0529,L2,7.2,4,Non-Networked,J1772,HOTEL
l2_MD_0065,Montebello Filtration Plant,3901 Hillen Rd,Baltimore,MD,39.336584,-76.588301,435493.464,185451.8918,L2,7.2,4,Non-Networked,J1772,MUNI_GOV
l2_MD_0066,Town of Ocean City - 300 St. Louis Ave Street Parking,300 St. Louis Ave,Ocean City,MD,38.335516,-75.087156,567227.563,75996.8079,L2,7.2,2,Non-Networked,J1772,STREET_PARKING
l2_MD_0067,Town of Ocean City - Municipal Parking,10007 Coastal Hwy,Ocean City,MD,38.414273,-75.058153,569576.8683,84790.5442,L2,7.2,2,Non-Networked,J1772,HOTEL
l2_MD_0068,Town of Ocean City - Recreation and Parks,200 125th St,Ocean City,MD,38.430853,-75.059004,569463.4502,86628.9648,L2,7.2,2,Non-Networked,J1772,STANDALONE_STATION
dcfc_MD_0012,Conservatory and Botanic Gardens,3100 Swann Dr,Baltimore,MD,39.318709,-76.647197,430423.576,183446.1882,DCFC,50,1,Non-Networked,CHADEMO J1772COMBO,PARK
dcfc_MD_0013,Patterson Park,200 S Linwood Ave,Baltimore,MD,39.288621,-76.576047,436574.6262,180131.9826,DCFC,50,1,Non-Networked,CHADEMO J1772COMBO,PARK
l2_MD_0069,Maryland Center for Veterans Education and Training,301 N High St,Baltimore,MD,39.293619,-76.606356,433957.4641,180675.1437,L2,7.2,4,Non-Networked,J1772,OFFICE_BLDG
l2_MD_0070,MCDOT-PARKING GARAGE 61,801 Ellsworth Dr,Silver Spring,MD,38.997286,-77.025565,397785.1762,147705.2062,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0071,MCDOT-PARKING GARAGE 5,1101 Bonifant St,Silver Spring,MD,38.993639,-77.028585,397523.4394,147300.4306,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0072,MCDOT-PARKING GARAGE 36,4910 Auburn Ave,Bethesda,MD,38.989545,-77.099948,391340.7675,146850.3094,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0073,Baltimore Public Works Museum,751 Eastern Ave,Baltimore,MD,39.284815,-76.603415,434215.4121,179698.8468,L2,7.2,2,Non-Networked,J1772,MUSEUM
l2_MD_0074,MTA MARC P OF ROCKS,4000 Clay St,Point of Rocks,MD,39.273776,-77.533331,353979.295,178533.5268,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0075,MTA MARC MARTIN AIR,2778 MD-150,Middle River,MD,39.33776,-76.420385,449968.9562,185661.0168,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0076,City of Takoma Park - Community Center,7500 Maple Ave,Takoma Park,MD,38.981991,-77.010571,399083.8391,146007.0541,L2,7.2,4,Non-Networked,CHADEMO J1772 J1772COMBO,MUNI_GOV
dcfc_MD_0014,City of Takoma Park - Community Center,7500 Maple Ave,Takoma Park,MD,38.981991,-77.010571,399083.8391,146007.0541,DCFC,50,1,Non-Networked,CHADEMO J1772 J1772COMBO,MUNI_GOV
l2_MD_0077,City of Takoma Park - Junction Parking Lot,7309 Carroll Ave,Takoma Park,MD,38.978277,-77.005876,399490.6056,145594.7278,L2,7.2,4,Non-Networked,J1772,PARKING_LOT
l2_MD_0078,City of Takoma Park - Recreation Center,7315 New Hampshire Ave,Takoma Park,MD,38.982318,-76.987962,401042.7706,146043.3682,L2,7.2,2,Non-Networked,J1772,REC_SPORTS_FACILITY
l2_MD_0079,M&T Bank Stadium,1101 Russell St,Baltimore,MD,39.279829,-76.622383,432581.2338,179138.381,L2,7.2,2,Non-Networked,CHADEMO J1772 J1772COMBO,ARENA
dcfc_MD_0015,M&T Bank Stadium,1101 Russell St,Baltimore,MD,39.279829,-76.622383,432581.2338,179138.381,DCFC,50,1,Non-Networked,CHADEMO J1772 J1772COMBO,ARENA
l2_MD_0080,Whalen Commons - East Parking Lot,19721 Beall St,Poolesville,MD,39.145806,-77.412039,364381.2202,164272.7824,L2,7.2,2,Non-Networked,J1772,PARK
l2_MD_0081,Poolesville Hardware,19961 Fisher Ave,Poolesville,MD,39.146667,-77.417222,363933.6185,164370.3992,L2,7.2,1,Non-Networked,J1772,SHOPPING_CENTER
l2_MD_0082,Tom Hodges Auto Sales & Service,24177 Tom Hodges Dr,Hollywood,MD,38.331636,-76.555135,438896.2708,73909.2976,L2,7.2,1,Non-Networked,J1772,CAR_DEALER
l2_MD_0083,PGCMLS LA LIBRARY 1,507 7th St,Laurel,MD,39.103811,-76.856556,412407.091,159540.1102,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0084,MC FLEET POTOMAC REC CEN,13860 Travilah Rd,Rockville,MD,39.083801,-77.232427,379890.1157,157334.6364,L2,7.2,2,ChargePoint Network,J1772,
l2_MD_0085,Hamilton Library,5910 Harford Rd,Baltimore,MD,39.356533,-76.558482,438053.5124,187678.6103,L2,7.2,4,Non-Networked,CHADEMO J1772 J1772COMBO,LIBRARY
dcfc_MD_0016,Hamilton Library,5910 Harford Rd,Baltimore,MD,39.356533,-76.558482,438053.5124,187678.6103,DCFC,50,1,Non-Networked,CHADEMO J1772 J1772COMBO,LIBRARY
