station_id,x,y,direction,highway,target_states,network_node_id,snap_distance_m,description
TS_I95_N,458760.3178,228140.3595,N,I-95,"42,34,36",182845157,234.1,I-95 N at PA line
TS_I95_S,398693.1413,110421.0884,S,I-95/I-495,51,2944860403,12.8,I-95/495 S at VA line
TS_I70_W,329170.038,217231.9239,W,I-70,54,6859153512,101.2,I-70 W toward WV
TS_I68_W,232575.6779,219192.4963,W,I-68,54,4401549905,12.1,I-68 W near Cumberland
TS_I81_S,336411.0466,214945.8184,SW,I-81,"54,51",3373708881,76.2,I-81 SW at WV line
TS_I270_S,389673.15,147443.9728,S,I-270/I-495,51,49217061,22.6,I-495/270 at VA line
TS_US50_E,519614.598,88134.5144,E,US-50,10,9763332208,60.6,US-50 E toward DE
TS_US301_N,502373.1898,199006.0882,NE,US-301,"10,42,34",182474778,83.6,US-301 N at DE line
TS_US13_N,500913.6716,216416.7382,N,US-40/US-13,"10,42",7411511088,40.1,US-40 near Elkton toward DE/PA
TS_DC_NW,391423.2411,146017.5898,W,I-495/I-270,11,12631465871,5.1,I-495 at DC line (NW)
TS_DC_NE,405986.1276,147193.997,E,US-50/I-495,11,50571179,38.4,I-495 at DC line (NE)
TS_RT1_S,399132.6231,113643.4531,S,US-1/I-295,51,50393587,49.5,US-1/I-295 at VA line (S of DC)
TS_US15_N,370554.1108,227946.6003,N,US-15,42,8201142249,71.9,US-15 N at PA line
TS_I83_N,423493.2611,228168.9079,N,I-83,42,9740549597,117.6,I-83 N at PA line
