charger_id,type,power_kw,plugs,sessions,hours_used,utilization_pct,x,y
l2_MD_1227,L2,7.2,30,96,94.0,1.3,389978.2716,153620.6885
l2_DC_0268,L2,7.2,20,75,45.9,1.0,392536.5272,143563.8114
l2_MD_0485,L2,7.2,16,62,65.4,1.7,390739.9372,149867.2395
l2_MD_0657,L2,7.2,23,56,58.6,1.1,392016.9668,146005.8129
l2_MD_1113,L2,7.2,22,50,32.4,0.6,431285.6476,197879.0933
dcfc_MD_0338,DCFC,50.0,10,43,13.9,0.6,384039.006,162196.9725
l2_MD_1124,L2,7.2,10,43,32.6,1.4,389095.6097,155294.0092
dcfc_MD_0328,DCFC_TESLA,150.0,12,37,4.9,0.2,409329.4282,147691.2919
l2_MD_0181,L2,7.2,8,36,14.2,0.7,410366.8849,141175.2133
l2_MD_0961,L2,7.2,10,33,31.2,1.3,421128.1266,168537.9967
l2_MD_1125,L2,7.2,10,33,28.1,1.2,389099.3199,155291.2298
l2_MD_0467,L2,7.2,8,33,17.3,0.9,386403.9257,154636.0049
l2_MD_1030,L2,7.2,20,33,36.6,0.8,405119.2957,146869.3582
dcfc_MD_0165,DCFC_TESLA,150.0,12,32,2.8,0.1,393435.2563,147581.4026
l2_MD_0914,L2,7.2,8,32,11.1,0.6,364433.3762,190621.6572
dcfc_MD_0336,DCFC,150.0,8,31,10.0,0.5,406282.2877,150414.2599
l2_MD_0178,L2,7.2,10,31,23.3,1.0,420696.9735,182949.1297
dcfc_MD_0270,DCFC_TESLA,150.0,12,31,2.7,0.1,362219.9277,191684.1415
l2_MD_0656,L2,7.2,8,30,30.1,1.6,392098.1184,146318.3346
l2_MD_0272,L2,7.2,4,29,24.8,2.6,402170.5178,150197.1512
dcfc_MD_0030,DCFC_TESLA,150.0,12,29,3.9,0.1,382504.3049,161146.3733
l2_MD_0274,L2,7.2,5,29,29.5,2.5,404563.5369,157014.8214
l2_MD_0294,L2,7.2,6,29,23.2,1.6,432479.1797,166216.0324
l2_MD_0759,L2,7.2,12,28,39.9,1.4,382190.9079,159728.823
l2_MD_0265,L2,7.2,6,28,19.1,1.3,364193.0063,195068.5776
dcfc_MD_0322,DCFC,50.0,10,27,10.7,0.4,354452.0678,196685.9786
l2_MD_0997,L2,7.2,6,27,18.1,1.3,440050.9571,190503.5426
l2_MD_1005,L2,7.2,4,27,35.2,3.7,396965.9933,153379.5809
dcfc_MD_0190,DCFC_TESLA,150.0,12,27,2.3,0.1,391501.6889,146001.4653
dcfc_MD_0280,DCFC_TESLA,150.0,12,25,2.8,0.1,419284.2081,167373.7234
dcfc_MD_0080,DCFC,150.0,10,25,5.9,0.2,415684.4056,169822.4081
l2_MD_1053,L2,7.2,8,24,15.5,0.8,391695.7423,146278.2395
l2_MD_0993,L2,7.2,4,24,23.2,2.4,427268.6052,151953.6355
l2_MD_1090,L2,7.2,4,24,14.6,1.5,387379.965,164914.6494
l2_MD_1013,L2,7.2,6,24,22.5,1.6,364911.8353,193813.2072
dcfc_MD_0254,DCFC,100.0,6,24,5.9,0.4,430777.2244,175848.4318
l2_MD_0628,L2,7.2,8,24,16.5,0.9,416934.2239,178611.2269
l2_MD_0463,L2,7.2,6,24,16.6,1.2,429688.6088,189147.8019
l2_MD_0304,L2,7.2,6,24,24.9,1.7,417521.6169,177982.1386
l2_MD_1117,L2,7.2,4,23,12.0,1.3,402781.2997,143344.243
l2_MD_0719,L2,7.2,9,23,24.1,1.1,391663.9535,146885.8072
l2_MD_0215,L2,7.2,6,23,16.7,1.2,408411.3024,164886.7645
l2_MD_1029,L2,7.2,6,23,10.7,0.7,404425.6237,147010.6024
l2_MD_1253,L2,7.2,8,23,26.7,1.4,392461.1293,143851.3501
dcfc_MD_0079,DCFC,150.0,8,23,6.2,0.3,458941.7641,199672.3078
l2_MD_0712,L2,7.2,8,23,16.6,0.9,397341.554,147155.3775
l2_MD_1317,L2,7.2,2,22,14.0,2.9,387848.2803,150815.0922
dcfc_MD_0076,DCFC,150.0,6,22,6.6,0.5,423954.421,165674.5511
l2_MD_0617,L2,7.2,4,22,11.0,1.1,393747.3114,150938.9394
dcfc_MD_0083,DCFC,150.0,4,22,6.1,0.6,364725.9447,191999.8018
l2_MD_0453,L2,7.2,5,22,20.0,1.7,386479.2838,155560.7274
l2_MD_0626,L2,7.2,4,22,13.6,1.4,393505.4072,150868.6648
dcfc_MD_0155,DCFC,150.0,6,22,6.1,0.4,387123.5402,150781.9372
l2_MD_0669,L2,7.2,6,22,21.5,1.5,431219.2799,166565.3654
l2_MD_0434,L2,7.2,4,22,15.0,1.6,425937.6296,157732.1943
dcfc_MD_0057,DCFC_TESLA,150.0,8,22,2.0,0.1,387023.8356,157662.0539
l2_MD_0609,L2,7.2,4,22,16.7,1.7,408779.6239,135578.1332
l2_MD_0473,L2,7.2,4,22,10.6,1.1,379311.3529,167932.8214
l2_MD_0113,L2,7.2,4,22,15.4,1.6,428161.6985,186583.9848
l2_MD_0900,L2,7.2,4,22,26.8,2.8,447092.7624,183583.0491
dcfc_MD_0286,DCFC,50.0,4,21,6.7,0.7,430720.2883,166918.6743
l2_MD_0992,L2,7.2,5,21,8.9,0.7,382969.7395,159410.416
l2_MD_0893,L2,7.2,8,21,9.3,0.5,442166.7253,178255.2989
dcfc_MD_0056,DCFC_TESLA,150.0,8,21,1.8,0.1,389886.2519,153616.4763
l2_MD_1073,L2,7.2,7,20,8.5,0.5,397556.8775,147085.0855
l2_MD_1255,L2,7.2,6,20,8.9,0.6,397566.6172,146577.7433
l2_MD_0284,L2,7.2,4,20,32.8,3.4,431435.4878,163372.0688
dcfc_MD_0218,DCFC,50.0,4,20,3.6,0.4,393723.4238,161888.7939
l2_MD_0301,L2,7.2,6,20,6.6,0.5,410462.3963,171736.3551
l2_MD_0658,L2,7.2,6,20,10.4,0.7,447315.2875,194234.3989
l2_MD_0732,L2,7.2,6,20,17.9,1.2,432587.2935,166128.8313
l2_MD_0621,L2,7.2,4,20,12.0,1.3,365003.8952,199013.1981
l2_MD_1254,L2,7.2,4,20,10.7,1.1,385794.2314,161780.3134
l2_MD_0941,L2,7.2,6,20,9.4,0.7,406850.3943,148467.1026
l2_MD_0906,L2,7.2,4,20,19.8,2.1,408102.879,143974.5567
l2_MD_1248,L2,7.2,4,20,4.0,0.4,367788.1565,196516.1755
l2_MD_0791,L2,7.2,2,19,11.9,2.5,454414.8268,194966.2149
dcfc_MD_0085,DCFC,150.0,4,19,4.8,0.5,415602.5293,179328.6216
l2_MD_0603,L2,7.2,4,19,10.1,1.1,403015.2431,130805.7597
l2_MD_1241,L2,7.2,8,19,9.2,0.5,425482.1758,143384.0117
dcfc_MD_0296,DCFC,50.0,4,19,8.2,0.9,401219.2715,177383.9501
l2_MD_1077,L2,7.2,4,19,11.6,1.2,404989.8858,157116.0594
l2_MD_1205,L2,7.2,12,19,7.1,0.2,415811.8389,168894.752
l2_MD_0235,L2,7.2,4,19,15.7,1.6,411360.1755,143800.1542
l2_MD_0637,L2,7.2,8,19,20.8,1.1,459760.2568,198484.0798
l2_MD_1180,L2,7.2,14,19,13.7,0.4,383477.4602,159149.3348
l2_MD_0605,L2,7.2,4,19,12.0,1.2,405445.1502,148005.9905
l2_MD_1078,L2,7.2,8,18,8.9,0.5,421987.1114,178285.5135
l2_MD_1115,L2,7.2,5,18,20.7,1.7,380819.1396,165378.2931
l2_MD_1292,L2,7.2,2,18,7.9,1.7,400077.7222,157344.994
l2_MD_0998,L2,7.2,4,18,13.2,1.4,425107.7272,161564.157
l2_MD_1127,L2,7.2,4,18,12.6,1.3,412375.5732,166734.9726
l2_MD_0812,L2,7.2,2,18,7.3,1.5,408121.4355,141000.5315
dcfc_MD_0287,DCFC,50.0,4,18,4.7,0.5,387164.7407,151421.6935
l2_MD_0965,L2,7.2,6,18,32.8,2.3,410694.5193,172434.7375
dcfc_MD_0162,DCFC_TESLA,150.0,12,18,2.1,0.1,407171.2876,150980.1708
l2_MD_0789,L2,7.2,4,18,15.0,1.6,391570.7268,145903.7585
l2_MD_0670,L2,7.2,4,18,8.3,0.9,406049.4061,160452.1006
dcfc_MD_0241,DCFC_TESLA,150.0,8,18,2.6,0.1,440971.839,182753.5956
l2_MD_1024,L2,7.2,4,18,17.6,1.8,364514.8459,193999.4583
