Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,One Parking,555 12th St NW,Level P3,Washington,DC,20004,,202-393-0649,E,,Public,Restricted to garage hours; pay lot; leave key,,,,,,13,,,Non-Networked,,200-9,38.896703,-77.027621,2023-08-10,43836,2025-11-14 14:11:55 UTC,P,,,2012-03-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,WASH HARBOUR STATION 1,3000 K St NW,Bottom of ramp,Washington,DC,20007,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.90178,-77.059732,2026-03-01,57221,2026-03-01 01:40:17 UTC,,,,2011-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,National Capital Parks,,,,false,
ELEC,TOWER COMPANIES 1828 L ST NW #1,1828 L St NW,Closed on the weekend,Washington,DC,20036,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.903466,-77.042898,2026-03-01,64548,2026-03-01 01:41:31 UTC,,,,2014-12-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,TOWER COMPANIES 1707 L STREET 1,1707 L St NW,Paid parking garage,Washington,DC,20036,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.903979,-77.039104,2026-03-01,64549,2026-03-01 01:33:40 UTC,,,,2014-12-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,Entrance on Wisconsin Circle,Washington,DC,20015,,202-686-5335,E,,Public,Restricted to garage hours; pay lot,,,,,,2,,,Non-Networked,,GPS,38.960472,-77.084739,2025-12-12,65672,2026-02-02 23:16:24 UTC,P,,,2013-04-30,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,1212 NEW YORK STATION 1,1212 New York Ave NW,The station is located on the 1st level of a parking garage. It is on the right side as you enter the garage.,Washington,DC,20005,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.900028,-77.028757,2026-03-01,68205,2026-03-01 01:15:51 UTC,,,,2015-07-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,"CHECK RATES 550 C STREET,SW",550 C St SW,Garage entrance to the right of Holiday Inn Capitol off of 6th Street,Washington,DC,20024,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.885599,-77.019678,2026-03-01,70598,2026-03-01 01:17:14 UTC,,,,2015-10-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,JBG SMITH 1717K,1717 K St NW,B1 Level Parking Garage,Washington,DC,20006,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.902774,-77.040063,2026-03-01,76344,2026-03-01 01:15:45 UTC,,,,2016-06-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,RIVERFRONT DOCK 79 G2 01,79 Potomac Ave SE,"Resident Parking Area, Level G2",Washington,DC,20003,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.871164,-77.006982,2026-03-01,80503,2026-03-01 01:21:28 UTC,,,,2017-01-05,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,1255 22ND ST STATION 2,1255 22nd St NW,,Washington,DC,20037,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.906672,-77.048363,2026-03-01,94632,2026-03-01 01:33:57 UTC,,,,2018-04-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
